,Surface Latitude,Surface Longitude,API,Lat Len - Horz Disp,Lat Len - Gross Perf,Year,Depth Total Maximum,Perforation Upper,Perforation Lower,FName_BRISCOE RANCH,FName_BRISCOE RANCH D1,FName_CAGE RANCH,FName_CHITTIM,FName_CYPRESS LANDING,FName_DE WITT,FName_DILWORTH,FName_DOERING RANCH,FName_EAGLEVILLE,FName_GIDDINGS,FName_HAWKVILLE,FName_HAWKVILLE D1,FName_PEARSALL,FName_PILGRIM,FName_PLEASANTON,FName_RED HAWK DIST 1,FName_SACATOSA,FName_SMILEY,FName_SOUTHERN BAY,FName_SUGARKANE,FName_UNNAMED,FName_WILDCAT,PrType_BUXT,PrType_CER,PrType_RCSD,PrType_SAND,PrType_SANDCER,PrType_SANDCERRCCR,PrType_SANDCRRCSD,PrType_SANDRCCR,PrType_SANDRCSD,PrType_SDRCSDCERRCR,FlType_A,FlType_F,FlType_FLUD,FlType_FRAC,FlType_GAFR,FlType_GEL,FlType_KCL,FlType_SLKW,FlType_U,FlType_W,FlType_X-LINKGEL,Proppant Amount,Fluid Amount,Proppant div Fluid,y_true,y_pred,dm,Trt Proppant Type,Trt Fluid Type,Trt N Frac Stages,Date Completion,Liquid,Operator
42255317670200,28.920365459,-98.13053868200001,42255317670200,6150.0,5422.0,2011.0,15610.0,10060.0,15482.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7691504.0,8690976.0,0.8849988769960934,0.1380063970733137,0.1519375741481781,0.10094587910634097,SAND,FLUD,16.0,2011-01-28,72025.0,COMSTOCK OIL&GAS LP
42255317680000,28.849810833000003,-98.103096667,42255317680000,5293.0,3561.0,2010.0,15806.0,12091.0,15652.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4238000.0,3185364.0,1.330460192304553,0.07522062526687517,0.244510218501091,2.2505741295501527,SAND,FLUD,1.0,2010-12-24,25783.0,EOG RESOURCES INC
42255317710000,29.115378055999997,-97.75696777799999,42255317710000,4991.0,4456.0,2011.0,15457.0,10820.0,15276.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6512000.0,3559206.0,1.8296215504244489,0.19245372223998425,0.2526846826076508,0.3129633434294414,SAND,X-LINKGEL,1.0,2011-03-18,82546.0,EOG RESOURCES INC
42255317880000,28.831309924,-98.11150956,42255317880000,5772.0,4401.0,2011.0,15885.0,11024.0,15425.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6280640.0,5593056.0,1.1229352969110271,0.2250156296981072,0.13085044920444489,0.4184828432584851,SAND,FLUD,16.0,2011-04-02,95321.0,CRIMSON EXP OPER INC
42255317950000,29.107333333000003,-97.77043611100001,42255317950000,6052.0,5500.0,2011.0,16439.0,10840.0,16340.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6052000.0,4014150.0,1.5076666292988552,0.16119447272727272,0.19362004101276398,0.20115806539069456,SAND,X-LINKGEL,1.0,2011-04-26,85337.0,EOG RESOURCES INC
42255317990000,29.104058333,-97.774488889,42255317990000,5705.0,5063.0,2011.0,16165.0,10967.0,16030.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5026000.0,3362562.0,1.4946936294408846,0.14279134737918664,0.1339661180973053,0.061805070432213824,SAND,FLUD,1.0,2011-05-31,69588.0,EOG RESOURCES INC
42255318010000,28.805735693000003,-98.049434814,42255318010000,5929.0,5071.0,2011.0,16729.0,11550.0,16621.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5586000.0,4241790.0,1.3168968760829745,0.2238468562845944,0.1574077308177948,0.2968061583242885,SAND,SLKW,15.0,2011-03-11,109262.0,MARATHON OIL EF LLC
42255318180000,28.853419444,-98.096016667,42255318180000,5457.0,5046.0,2011.0,15947.0,10743.0,15789.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4998000.0,3684408.0,1.3565272901372487,0.12829827504764385,0.18875637650489807,0.4712308207947689,SAND,FLUD,1.0,2011-03-01,62315.0,EOG RESOURCES INC
42255318280000,28.994360833,-97.969296111,42255318280000,4321.0,3666.0,2011.0,14700.0,10940.0,14606.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3526000.0,2244984.0,1.5706125299779419,0.12748254601708406,0.13611574470996854,0.06772063284433906,SAND,FLUD,1.0,2011-12-30,44985.0,EOG RESOURCES INC
42255318410000,28.977202778000002,-97.780308333,42255318410000,6237.0,5034.0,2011.0,18080.0,12666.0,17700.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3766000.0,3540684.0,1.0636362917447588,0.2650443744183389,0.25502580404281616,0.037799596378943284,SANDRCSD,X-LINKGEL,1.0,2011-09-08,128427.0,BURLINGTON RES O&G
42255318430000,29.086119444,-97.8191,42255318430000,4555.0,2306.0,2011.0,14772.0,12286.0,14592.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2366000.0,1594362.0,1.4839791716059465,0.2783506136463544,0.4008370041847229,0.4400435441252089,SAND,FLUD,1.0,2011-04-03,61784.0,EOG RESOURCES INC
42255318540000,28.859266666999996,-98.12188888899999,42255318540000,3856.0,3404.0,2012.0,14722.0,11200.0,14604.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3068000.0,1691382.0,1.8139012949174107,0.13790811132752764,0.14726968109607694,0.06788266243684442,SAND,X-LINKGEL,1.0,2012-06-28,45186.0,EOG RESOURCES INC
42255318580000,28.957833333000004,-97.780758333,42255318580000,5171.0,4442.0,0.0,17430.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3776000.0,3286794.0,1.1488398725323217,0.3812277574583829,0.10629849135875702,0.7211680175980859,SANDRCSD,X-LINKGEL,1.0,,163000.0,BURLINGTON RES O&G
42255318590000,28.977208333000004,-97.780238889,42255318590000,5363.0,4525.0,2011.0,17456.0,12668.0,17193.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3750000.0,3410232.0,1.0996319311999887,0.31571894104291226,0.2645805776119232,0.16197432837594106,SANDRCSD,X-LINKGEL,1.0,2011-06-08,137513.0,BURLINGTON RES O&G
42255318640000,28.86713889,-98.10935556,42255318640000,4851.0,4236.0,2012.0,15690.0,11275.0,11593.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4018000.0,2567670.0,1.5648428341648264,0.18726761612790568,0.14177896082401276,0.2429072161244562,SAND,X-LINKGEL,1.0,2012-01-07,76356.0,EOG RESOURCES INC
42255318650000,28.869744444000002,-98.105211111,42255318650000,5862.0,5439.0,2011.0,16690.0,11160.0,16599.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4722000.0,4238430.0,1.1140917745485943,0.11409990253043092,0.1543392390012741,0.3526675797125348,SAND,FLUD,1.0,2011-08-21,59735.0,EOG RESOURCES INC
42255318720000,29.099327778000003,-97.782986111,42255318720000,6148.0,5634.0,2011.0,16440.0,10669.0,16303.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5638000.0,3931116.0,1.4341983294311336,0.1674361591316907,0.17547781765460968,0.048028207076788745,SAND,FLUD,1.0,2011-08-02,90801.0,EOG RESOURCES INC
