borehole,id,CALI,DEPTH,DTCO,DTSM,RHOB,SGR,VOL_ILLITE
F102,3742,8.4901,11053.0,73.6,149.6,2.3876,44.0389,0.105
F102,3743,8.5013,11053.5,73.6,149.6,2.3868,43.5496,0.094739
F102,3744,8.5124,11054.0,73.6,149.6,2.3712,43.0603,0.076974
F102,3745,8.5235,11054.5,73.6,149.6,2.3556,42.57100000000001,0.059427
F102,3746,8.5346,11055.0,73.6,149.6,2.3401,42.0817,0.041916
F102,3747,8.5568,11055.5,73.6,149.6,2.3393,41.3966,0.030677
F102,3748,8.5791,11056.0,73.6,149.6,2.3384,40.7116,0.030569
F102,3749,8.6013,11056.5,73.6,149.6,2.3376,40.0265,0.030287
F102,3750,8.6235,11057.0,74.1333,148.0,2.3368,39.3415,0.030004000000000006
F102,3751,8.6458,11057.5,74.6667,146.4,2.3359,38.6564,0.029845
F102,3752,8.668,11058.0,75.2,144.8,2.3351,37.9714,0.034405
F102,3753,8.7458,11058.5,75.2,144.8,2.3343,37.2863,0.038977
F102,3754,8.8236,11059.0,75.2,144.8,2.3334,36.6013,0.043685
F102,3755,8.9014,11059.5,75.2,144.8,2.3201,35.9162,0.041947000000000005
F102,3756,8.9793,11060.0,75.2,144.8,2.3068,35.2312,0.040174
F102,3757,9.0571,11060.5,75.2,144.8,2.2934,35.1333,0.040891
F102,3758,9.1349,11061.0,75.2,144.8,2.2801,35.0354,0.041628
F102,3759,9.1082,11061.5,75.2,144.8,2.282,34.9376,0.027641
F102,3760,9.0815,11062.0,75.2,144.8,2.2839,34.8397,0.013499
F102,3761,9.0549,11062.5,75.2,144.8,2.2858,34.7418,5e-06
F102,3762,9.0282,11063.0,75.4667,142.4,2.2877,34.644,5e-06
F102,3763,9.0015,11063.5,75.7333,140.0,2.2896,34.5461,5e-06
F102,3764,9.0015,11064.0,76.0,137.6,2.2915,34.4482,5e-06
F102,3765,9.0015,11064.5,76.0,137.6,2.2934,34.3504,0.00277
F102,3766,9.0015,11065.0,76.0,137.6,2.2834,34.2525,0.002441
F102,3767,9.0015,11065.5,76.0,137.6,2.2734,33.8611,0.000801
F102,3768,9.0015,11066.0,76.0,137.6,2.2634,33.4696,5e-06
F102,3769,8.9615,11066.5,76.0,137.6,2.2534,33.0781,5e-06
F102,3770,8.9215,11067.0,76.0,137.6,2.2629,32.6867,5e-06
F102,3771,8.8814,11067.5,76.0,137.6,2.2725,32.2952,5e-06
F102,3772,8.8414,11068.0,76.0,137.6,2.282,32.22,0.003132
F102,3773,8.8014,11068.5,76.0,137.6,2.2915,32.1447,0.007648
F102,3774,8.7681,11069.0,76.0,143.2,2.301,32.0694,0.0074709999999999985
F102,3775,8.7347,11069.5,76.0,148.8,2.3106,31.9941,0.007155
F102,3776,8.7014,11070.0,76.0,148.8,2.3201,31.9188,0.006770999999999999
F102,3777,8.668,11070.5,76.0,148.8,2.3112,31.8435,5e-06
F102,3778,8.6346,11071.0,76.0,148.8,2.3023,31.7683,5e-06
F102,3779,8.6013,11071.5,76.0,148.8,2.2934,31.693,5e-06
F102,3780,8.6013,11072.0,76.0,148.8,2.2934,31.6177,5e-06
F102,3781,8.6013,11072.5,76.0,148.8,2.2934,31.5424,5e-06
F102,3782,8.6013,11073.0,76.0,148.8,2.2934,31.4671,0.008726000000000001
F102,3783,8.6013,11073.5,76.0,148.8,2.2934,31.3919,0.018991
F102,3784,8.6013,11074.0,76.0,148.8,2.2934,31.3166,0.017074000000000002
F102,3785,8.588,11074.5,78.0,149.2,2.2934,31.3778,0.015761
F102,3786,8.5746,11075.0,80.0,149.6,2.2934,31.4389,0.014274
F102,3787,8.5613,11075.5,80.0,149.6,2.2968,31.5001,0.014655
F102,3788,8.5479,11076.0,80.0,149.6,2.3001,31.5612,0.014982
F102,3789,8.5346,11076.5,80.0,149.6,2.3034,31.6224,0.015307
F102,3790,8.532,11077.0,80.0,149.6,2.3068,31.6836,0.015505
F102,3791,8.5295,11077.5,80.0,149.6,2.3095,31.7447,0.015555
F102,3792,8.5269,11078.0,80.0,149.6,2.3123,31.8059,0.015675
F102,3793,8.5243,11078.5,80.0,149.6,2.315,31.8671,0.015744
F102,3794,8.5218,11079.0,80.0,149.6,2.3178,31.9282,0.01575
F102,3795,8.5192,11079.5,80.0,149.6,2.3206,31.9894,0.015933000000000003
F102,3796,8.5166,11080.0,75.6,147.6,2.3233,32.0506,0.016063
F102,3797,8.5141,11080.5,71.2,145.6,2.3261,32.1117,0.016239
F102,3798,8.5115,11081.0,71.2,145.6,2.3288,32.1729,0.016189
F102,3799,8.5089,11081.5,71.2,145.6,2.3316,32.2341,0.016359000000000002
F102,3800,8.5064,11082.0,71.2,145.6,2.3343,32.2952,0.016475999999999998
F102,3801,8.5038,11082.5,71.2,145.6,2.3371,32.2952,0.016255000000000002
F102,3802,8.5013,11083.0,71.2,145.6,2.3399,32.2952,0.015857
F102,3803,8.4987,11083.5,71.2,145.6,2.3426,32.2952,0.015579
F102,3804,8.4961,11084.0,71.2,145.6,2.3454,32.2952,0.015348
F102,3805,8.4936,11084.5,71.2,145.6,2.3481,32.2952,0.015174000000000003
F102,3806,8.491,11085.0,71.2,145.6,2.3509,32.2952,0.014766
F102,3807,8.4884,11085.5,71.2,145.6,2.3537,32.2952,0.014639
F102,3808,8.4859,11086.0,73.2,144.4,2.3564,32.2952,0.006968000000000001
F102,3809,8.4833,11086.5,75.2,143.2,2.3592,32.2952,0.019912
F102,3810,8.4807,11087.0,75.2,143.2,2.3619,32.2952,0.032699
F102,3811,8.4782,11087.5,75.2,143.2,2.3647,32.2952,0.045564
F102,3812,8.4756,11088.0,75.2,143.2,2.3675,32.2952,0.04442
F102,3813,8.472999999999999,11088.5,75.2,143.2,2.3702,32.7846,0.045381
F102,3814,8.4705,11089.0,75.2,143.2,2.373,33.2739,0.049016
F102,3815,8.4679,11089.5,75.2,143.2,2.3757,33.7632,0.052597000000000005
F102,3816,8.4679,11090.0,75.2,143.2,2.3785,34.2525,0.056224
F102,3817,8.4679,11090.5,75.2,143.2,2.3812,34.7418,0.060843
F102,3818,8.4679,11091.0,75.2,143.2,2.384,35.2312,0.065675
F102,3819,8.4679,11091.5,73.6,148.8,2.3868,35.7205,0.075387
F102,3820,8.4679,11092.0,73.6,148.8,2.3868,36.2098,0.083854
F102,3821,8.4679,11092.5,73.6,148.8,2.3901,36.6991,0.093928
F102,3822,8.4679,11093.0,73.6,148.8,2.3934,37.1884,0.089512
F102,3823,8.4679,11093.5,73.6,148.8,2.3968,37.6778,0.08532100000000001
F102,3824,8.4679,11094.0,73.6,148.8,2.4001,38.1671,0.08090599999999999
F102,3825,8.4679,11094.5,73.6,148.8,2.4001,38.2486,0.068208
F102,3826,8.4679,11095.0,73.6,148.8,2.3984,38.3302,0.054676
F102,3827,8.4679,11095.5,73.6,148.8,2.3968,38.4117,0.063318
F102,3828,8.4679,11096.0,73.6,148.8,2.3951,38.4933,0.07208200000000001
F102,3829,8.4679,11096.5,73.6,148.8,2.3934,38.5749,0.06261
F102,3830,8.4679,11097.0,69.6,143.2,2.3768,38.6564,0.04593
F102,3831,8.4679,11097.5,69.6,143.2,2.3601,38.738,0.029035
F102,3832,8.4679,11098.0,69.6,143.2,2.3679,38.8195,0.024478
F102,3833,8.4679,11098.5,69.6,143.2,2.3756,38.9011,0.037323
F102,3834,8.4679,11099.0,69.6,143.2,2.3834,38.9826,0.050409
F102,3835,8.4679,11099.5,69.6,143.2,2.3834,39.0642,0.048329
F102,3836,8.5124,11100.0,69.6,143.2,2.3743,39.1457,0.041567
F102,3837,8.5568,11100.5,69.6,143.2,2.3651,39.2347,0.034962
F102,3838,8.6013,11101.0,69.6,143.2,2.3559,39.3237,0.028183
F102,3839,8.7569,11101.5,69.6,143.2,2.3468,39.4126,0.016278
F102,3840,8.9126,11102.0,69.7538,142.8308,2.3134,39.5016,5e-06
F102,3841,9.0682,11102.5,69.9077,142.4615,2.2801,39.5906,5e-06
F102,3842,8.9126,11103.0,70.0615,142.0923,2.3001,39.6795,5e-06
F102,3843,8.7569,11103.5,70.2154,141.7231,2.3201,39.7685,5e-06
F102,3844,8.6013,11104.0,70.3692,141.3538,2.3401,39.8575,5e-06
F102,3845,8.6871,11104.5,70.5231,140.9846,2.3601,39.9464,5e-06
F102,3846,8.7728,11105.0,70.6769,140.6154,2.3801,40.0354,0.011446
F102,3847,8.8586,11105.5,70.8308,140.2462,2.3574,40.1244,0.00796
F102,3848,8.9443,11106.0,70.9846,139.8769,2.3348,40.2133,0.004281
F102,3849,9.0301,11106.5,71.1385,139.5077,2.3121,40.3023,0.016975
F102,3850,9.1158,11107.0,71.2923,139.1385,2.2894,40.3913,0.03042
F102,3851,9.2016,11107.5,71.4462,138.7692,2.2668,40.4802,0.029354
F102,3852,9.2016,11108.0,71.6,138.4,2.2701,40.5692,0.041588
F102,3853,9.2016,11108.5,71.7539,138.0308,2.2734,40.6582,0.053669000000000015
F102,3854,9.2016,11109.0,71.9077,137.6615,2.2768,40.7471,0.065987
F102,3855,9.1349,11109.5,72.0615,137.2923,2.2801,40.8361,0.031685000000000005
F102,3856,9.0682,11110.0,72.2154,136.9231,2.2868,40.9251,0.000964
F102,3857,9.0015,11110.5,72.3692,136.5538,2.2934,41.0141,0.003982
F102,3858,8.8459,11111.0,72.5231,136.1846,2.3161,41.103,0.015182
F102,3859,8.6902,11111.5,72.6769,135.8154,2.3388,41.837,0.029004
F102,3860,8.5346,11112.0,72.8308,135.4461,2.3614,42.57100000000001,0.042723
F102,3861,8.5346,11112.5,72.9846,135.0769,2.3841,43.305,0.049863
F102,3862,8.5346,11113.0,73.1385,134.7077,2.4068,44.0389,0.056729
F102,3863,8.5346,11113.5,73.2923,134.3385,2.3901,44.7729,0.044269
F102,3864,8.5791,11114.0,73.4462,133.9692,2.3734,45.5069,0.060232000000000015
F102,3865,8.6235,11114.5,73.6,133.6,2.3768,46.2409,0.086063
F102,3866,8.668,11115.0,73.6,133.6,2.3801,46.9749,0.102626
F102,3867,8.6513,11115.5,73.6,133.6,2.3834,47.7089,0.09483
F102,3868,8.6346,11116.0,73.6,133.6,2.3868,48.4428,0.077751
F102,3869,8.618,11116.5,73.6,133.6,2.3601,49.1768,0.046031
F102,3870,8.6013,11117.0,73.6,133.6,2.3334,49.9108,0.0349
F102,3871,8.6235,11117.5,72.0,134.4,2.3334,48.9322,0.02952
F102,3872,8.6458,11118.0,72.0,134.4,2.3334,47.9535,0.024128
F102,3873,8.668,11118.5,72.0,134.4,2.3334,46.9749,0.018725
F102,3874,8.6458,11119.0,72.0,134.4,2.3334,45.9962,0.021652
F102,3875,8.6235,11119.5,72.0,134.4,2.3401,45.0176,0.028074
F102,3876,8.6013,11120.0,72.097,127.2,2.3468,44.0389,0.02284
F102,3877,8.5568,11120.5,72.194,127.2,2.3534,43.0603,0.017599
F102,3878,8.5124,11121.0,72.2909,127.2,2.3601,42.0817,0.012493
F102,3879,8.4679,11121.5,72.3879,127.2,2.3668,41.103,0.0071870000000000015
F102,3880,8.4679,11122.0,72.4849,127.2,2.3734,40.1244,0.004567
F102,3881,8.4679,11122.5,72.5818,128.0,2.3801,39.1457,0.002004
F102,3882,8.4679,11123.0,72.6788,128.0,2.3868,38.7009,0.001786
F102,3883,8.4901,11123.5,72.7758,128.0,2.3948,38.2561,0.002887
F102,3884,8.5124,11124.0,72.8727,128.0,2.4028,37.8112,0.004155
F102,3885,8.5346,11124.5,72.9697,128.0,2.4108,37.3664,0.005236
F102,3886,8.5513,11125.0,73.0667,140.0,2.4188,36.9215,0.005615
F102,3887,8.5679,11125.5,73.1636,140.0,2.4268,36.4767,0.005985
F102,3888,8.5846,11126.0,73.2606,140.0,2.4268,36.0319,0.0024530000000000003
F102,3889,8.6013,11126.5,73.3576,140.0,2.4268,35.587,5e-06
F102,3890,8.6235,11127.0,73.4545,140.0,2.4468,35.1422,5e-06
F102,3891,8.6458,11127.5,73.5515,140.0,2.4668,34.6974,0.001798
F102,3892,8.668,11128.0,73.6485,120.0,2.4868,34.2525,0.004729
F102,3893,8.6458,11128.5,73.7454,120.0,2.5068,33.7632,0.00179
F102,3894,8.6235,11129.0,73.8424,120.0,2.5134,33.2739,5e-06
F102,3895,8.6013,11129.5,73.9394,120.0,2.5201,32.7846,5e-06
F102,3896,8.5568,11130.0,74.0363,120.0,2.5234,32.2952,5e-06
F102,3897,8.5124,11130.5,74.1333,120.0,2.5268,31.8059,5e-06
F102,3898,8.4679,11131.0,74.2303,120.0,2.5301,31.3166,5e-06
F102,3899,8.5124,11131.5,74.3273,120.0,2.5334,30.8273,5e-06
F102,3900,8.5568,11132.0,74.4242,120.0,2.5601,30.3379,5e-06
